Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.0001,2.0,30.0,5000.0,11.877214386011497,14.29619064365217,21.280128670196437,5.1195648158321365,12.139285456727114,1.293492540390354
0.0001,2.0,50.0,500.0,66.64139256895395,87.71454993797774,92.68523783061569,19.385313989893742,26.78255221946649,9.433433810948639
0.0001,2.0,50.0,1000.0,20.030232963026897,35.066504726063386,48.942478959455684,10.389407882963171,4.954360095967184,3.8501705636246477
0.0001,2.0,50.0,5000.0,13.64183109823028,15.781578739131744,18.374147358419048,7.77083742150118,8.34697897415713,3.713986995857847
0.0001,2.0,70.0,500.0,57.57255546684915,80.85927396439016,90.05291866266695,10.22026056358987,3.711902205639294,4.017013136293084
0.0001,2.0,70.0,1000.0,19.45137985409606,33.756805667589624,42.49249302364671,8.55499799209986,12.284387145206823,3.346243346954502
0.0001,2.0,70.0,5000.0,9.445226789202676,10.803113998806106,10.801336226783365,3.5971015229814607,6.385829734029475,2.008688158641528
0.0001,2.0,90.0,500.0,30.43530189276174,62.5696234143685,78.69954685862572,8.816739278752056,7.810140865670748,6.510375839856386
0.0001,2.0,90.0,1000.0,18.011844995908564,32.652887312538994,39.93142206122726,10.571793345094463,13.20728601628093,4.0982053006864785
0.0001,2.0,90.0,5000.0,9.910577117629089,11.886242527343336,12.266633049819823,5.921947619954642,9.775830924384643,2.5772681802110635
0.0001,2.0,110.0,500.0,28.41720455623891,56.43816346873412,74.96497351815738,5.80840283694294,13.827556635274307,2.6810175697288456
0.0001,2.0,110.0,1000.0,18.97864843118066,33.21052189837436,39.89860382889025,8.303561875709782,10.715229682070905,3.3903855621020886
0.0001,2.0,110.0,5000.0,8.230234051738336,10.656522145794725,11.074751818482747,3.479026439510869,5.329923878090254,2.3717470097591087
0.0001,3.0,30.0,500.0,90.05661391736736,95.25415841539171,96.31386343327485,34.5771878571873,31.21531847375674,19.10090755836808
0.0001,3.0,30.0,1000.0,14.433905574211783,31.259776040843732,49.7034245876362,18.034174751957515,10.648300334584219,2.8633485727031958
0.0001,3.0,30.0,5000.0,13.34272147043212,15.34260048066079,19.346865186153288,11.168885752161312,15.268060164199504,3.4136992441578395
0.0001,3.0,50.0,500.0,62.851320491643634,87.5659862663692,90.9976313844138,14.27804272490419,21.281155818286326,20.759017667089307
0.0001,3.0,50.0,1000.0,18.42159723009667,31.101207533135767,37.91648014462105,12.809779169367456,16.75083433470876,4.691124209367376
